FirstName,LastName,EmailAddress
Ivo,Salmre,ivo0@adventure-works.com
Raymond,Sam,raymond0@adventure-works.com
Mandar,Samant,mandar0@adventure-works.com
Prasanna,Samarawickrama,prasanna0@adventure-works.com
Ken,Sanchez,ken0@adventure-works.com
Mikael,Sandberg,mikael0@adventure-works.com
Jim,Scardelis,jim0@adventure-works.com
Mike,Seamans,mike0@adventure-works.com
Steven,Selikoff,steven0@adventure-works.com
Rostislav,Shabalin,rostislav0@adventure-works.com
Ashvini,Sharma,ashvini0@adventure-works.com
Janet,Sheperdigian,janet0@adventure-works.com
Margie,Shoop,margie0@adventure-works.com
Britta,Simon,britta0@adventure-works.com
Paul,Singh,paul1@adventure-works.com
Denise,Smith,denise0@adventure-works.com
Samantha,Smith,samantha0@adventure-works.com
Lolan,Song,lolan0@adventure-works.com
Anibal,Sousa,anibal0@adventure-works.com
Candy,Spoon,candy0@adventure-works.com
Betsy,Stadick,betsy0@adventure-works.com
Annik,Stahl,annik0@adventure-works.com
Laura,Steele,laura0@adventure-works.com
Min,Su,min0@adventure-works.com
Michael,Sullivan,michael8@adventure-works.com
Krishna,Sunkammurali,krishna0@adventure-works.com
Roberto,Tamburello,roberto0@adventure-works.com
Sameer,Tejani,sameer0@adventure-works.com
Diane,Tibbott,diane2@adventure-works.com
Danielle,Tiedt,danielle0@adventure-works.com
Hung-Fu,Ting,hung-fu0@adventure-works.com
Dragan,Tomic,dragan0@adventure-works.com
Jean,Trenary,jean0@adventure-works.com
Olinda,Turner,olinda0@adventure-works.com
Sairaj,Uddin,sairaj0@adventure-works.com
Sylvester,Valdez,sylvester0@adventure-works.com
Tom,Vande Velde,tom0@adventure-works.com
Michael,Vanderhyde,michael5@adventure-works.com
William,Vong,william0@adventure-works.com
Rob,Walters,rob0@adventure-works.com
Bryan,Walton,bryan1@adventure-works.com
Jian Shuo,Wang,jianshuo0@adventure-works.com
Jason,Watters,jason0@adventure-works.com
Patrick,Wedge,patrick0@adventure-works.com
Brian,Welcker,brian3@adventure-works.com
Jill,Williams,jill0@adventure-works.com
Dan,Wilson,dan1@adventure-works.com
John,Wood,john5@adventure-works.com
Sheela,Word,sheela0@adventure-works.com
A. Scott,Wright,ascott0@adventure-works.com
Peng,Wu,peng0@adventure-works.com
David,Yalovsky,david3@adventure-works.com
Garrett,Young,garrett0@adventure-works.com
Nuan,Yu,nuan0@adventure-works.com
Gary,Yukish,gary0@adventure-works.com
Eugene,Zabokritski,eugene0@adventure-works.com
Kimberly,Zimmerman,kimberly0@adventure-works.com
Michael,Zwilling,michael7@adventure-works.com
